short_name,full_name,taxonomic_name,functional_group,life_history
Rubble,Broken_coral_rubble,Broken_coral_rubble,Abiotic_Substrate,Not_Coral
SCRO,Consolidated_hard_rock,Consolidated_hard_rock,Abiotic_Substrate,Not_Coral
Sand,Sand,Sand,Abiotic_Substrate,Not_Coral
Sediment,Sediment,Sediment,Abiotic_Substrate,Not_Coral
CCA,Crustose_coralline_algae,Crustose_coralline_algae,Crustose_Algae,Not_Coral
Peysson,Peyssonnelia,Peyssonnelia,Crustose_Algae,Not_Coral
CYAN,Cyanobacteria_films,Cyanobacteria,Cyanobacteria,Not_Coral
AcCor,Acropora_corymbose,Acropora,Hard_coral,Compeditive
AcDig,Acropora_digitate,Acropora,Hard_coral,Compeditive
Acr_arb,Acropora_arborescent,Acropora,Hard_coral,Compeditive
Acrop,Acropora,Acropora,Hard_coral,Compeditive
AcroTab,Acropora_tabulate,Acropora,Hard_coral,Compeditive
B_Acr_arb,Bleached_Acropora_arborescent,Acropora,Hard_coral,Compeditive
B_Acro,Bleached_Acropora,Acropora,Hard_coral,Compeditive
BAT,Bleached_Acropora_tabulate,Acropora,Hard_coral,Compeditive
BlAcro.Cor,Bleached_Acropora_corymbose,Acropora,Hard_coral,Compeditive
BlAcro-Cor,Bleached_Acropora_corymbose,Acropora,Hard_coral,Compeditive
X.MOEN,Montipora_encrusting,Montipora,Hard_coral,Compeditive
X.MOFO,Montipora_foliose,Montipora,Hard_coral,Compeditive
*MOEN,Montipora_encrusting,Montipora,Hard_coral,Compeditive
*MOFO,Montipora_foliose,Montipora,Hard_coral,Compeditive
B_MOEN,Bleached_Montipora_encrusting,Montipora,Hard_coral,Compeditive
B_MOFO,Bleached_Montipora_foliose,Montipora,Hard_coral,Compeditive
B_Monti,Bleached_Montipora,Montipora,Hard_coral,Compeditive
Monti,Montipora,Montipora,Hard_coral,Compeditive
B_PEYDO,Bleached_Pocillopora_eydouxi,Pocillopora,Hard_coral,Compeditive
B_PMEAN,Bleached_Pocillopora_meandrina,Pocillopora,Hard_coral,Compeditive
B_Pocillo,Bleached_Pocillopora,Pocillopora,Hard_coral,Compeditive
PEYDO,Pocillopora_eydouxi,Pocillopora,Hard_coral,Compeditive
PMEAN,Pocillopora_meandrina,Pocillopora,Hard_coral,Compeditive
Pocill,Pocillopora,Pocillopora,Hard_coral,Compeditive
BlTurbFol,Bleached_Turbinaria_foliose,Turbinaria,Hard_coral,Compeditive
TURB,Turbinaria,Turbinaria,Hard_coral,Compeditive
B_HyExe,Bleached_Hydnophora_exesa,Hydnophora_exesa,Hard_coral,Generalist
HyExe,Hydnophora_exesa,Hydnophora_exesa,Hard_coral,Generalist
Blisop,Bleached_Isopora,Isopora,Hard_coral,Not_Classified
Isopora,Isopora,Isopora,Hard_coral,Not_Classified
B_Oxyp,Bleached_Oxypora,Oxypora,Hard_coral,Not_Classified
Oxyp,Oxypora,Oxypora,Hard_coral,Not_Classified
Astreo,Astreopora,Astreopora,Hard_coral,Stress_Tolerant
B_Astre,Bleached_Astreopora,Astreopora,Hard_coral,Stress_Tolerant
Cirr,Cirrhipathes,Cirrhipathes,Hard_coral,Stress_Tolerant
COSC,Coscinaraea,Coscinaraea,Hard_coral,Stress_Tolerant
B_Cosc,Bleached_Coscinarea,Coscinarea,Hard_coral,Stress_Tolerant
B_Favia,Bleached_Favia,Dipsastraea,Hard_coral,Stress_Tolerant
B_FaviaM,Bleached_Favia_matthai,Dipsastraea,Hard_coral,Stress_Tolerant
B_FaviaS,Bleached_Favia_speciosa,Dipsastraea,Hard_coral,Stress_Tolerant
Favia,Favia,Dipsastraea,Hard_coral,Stress_Tolerant
FaviaM,Dipsastraea_matthai,Dipsastraea,Hard_coral,Stress_Tolerant
FaviaS,Favia_speciosa,Dipsastraea,Hard_coral,Stress_Tolerant
