"Field.Season","Site","Quadrat","AcCor","AcDig","AcroTab","Monta","Lepta","Sinu","Clad","Lobph","Sarco","Unc","SHAD"
"KI2015a","site15","Q0.2.jpg",0,0,0,0,0,0,0,0,0,0,2
"KI2015a","site15","Q11.6.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q13.1.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q14.4.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q15.8.jpg",0,0,0,0,0,0,0,0,0,0,5
"KI2015a","site15","Q19.1.jpg",0,0,0,0,0,0,0,0,0,0,2
"KI2015a","site15","Q21.4.jpg",0,0,0,0,0,0,0,0,0,0,2
"KI2015a","site15","Q2.2.jpg",0,0,0,0,0,0,0,0,0,0,1
"KI2015a","site15","Q24.6.jpg",0,0,0,0,0,0,0,0,0,1,1
"KI2015a","site15","Q24.8.jpg",0,0,0,0,0,0,0,0,0,0,4
"KI2015a","site15","Q35.2.jpg",0,0,0,0,0,0,0,0,0,1,3
"KI2015a","site15","Q36.9.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q38.9.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q42.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q42.6.jpg",0,0,0,0,0,0,0,0,0,1,4
"KI2015a","site15","Q4.3.jpg",0,0,0,0,0,0,0,0,0,1,3
"KI2015a","site15","Q44.7.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q46.6.jpg",0,0,0,0,0,0,0,0,0,0,3
"KI2015a","site15","Q47.3.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q49.9.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q4.9.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q50.3.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q54.6.jpg",0,0,0,0,0,0,0,0,0,1,0
"KI2015a","site15","Q55.8.jpg",0,0,0,0,0,0,0,0,0,0,1
"KI2015a","site15","Q56.5.jpg",0,0,0,0,0,0,0,0,0,0,2
"KI2015a","site15","Q58.3.jpg",0,0,0,0,0,0,0,0,0,0,1
"KI2015a","site15","Q7.3.jpg",0,0,0,0,0,0,0,0,0,0,1
"KI2015a","site15","Q7.9.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site15","Q8.9.jpg",0,0,0,0,0,0,0,0,0,0,4
"KI2015a","site27","Q11.6.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q11.6.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q13.1.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q13.1.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q14.5.2.jpg",0,0,0,0,0,0,0,0,0,0,1
"KI2015a","site27","Q14.5.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q15.8.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q15.8.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q17.4.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q17.4.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q19.1.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q19.1.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q21.3.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q21.3.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q2.2.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q2.2.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q24.6.1.jpg",0,0,0,0,0,0,0,0,0,0,0
"KI2015a","site27","Q24.6.2.jpg",0,0,0,0,0,0,0,0,0,1,0
"KI2015a","site27","Q24.8.2.jpg",0,0,0,0,0,0,0,0,0,0,0
