"Site","HD_Cat","HD_Cont","NPP","WE","Region","WaveEnergy"
"site1","Medium",1613.276063,979.5381087,"windward","North Shore",26.2347931
"site10","Very Low",0,972.9080505,"windward","Bay of Wrecks",NA
"site11","Very Low",0,1015.475306,"windward","Bay of Wrecks",26.12732319
"site12","Medium",1212.82819,1043.198364,"sheltered","Vaskess Bay",NA
"site13","Medium",1212.82819,1043.198364,"sheltered","Vaskess Bay",NA
"site14","Medium",1159.552126,984.2650146,"sheltered","South Lagoon",24.79859521
"site15","Very Low",0,1003.661438,"windward","Bay of Wrecks",26.40668069
"site16","Very Low",0,1015.121226,"windward","Bay of Wrecks",26.07358823
"site17","Very Low",0,1019.829513,"windward","Bay of Wrecks",27.11500922
"site18","Very Low",0,993.428,"windward","Bay of Wrecks",NA
"site19","Very Low",0,993.4283691,"windward","Bay of Wrecks",NA
"site2","Low",808.5521265,973.7622586,"windward","North Shore",NA
"site20","Very Low",0,1015.121226,"windward","Bay of Wrecks",26.07358823
"site21","Very Low",0,972.9080505,"windward","Bay of Wrecks",NA
"site22","Medium",1116.031547,996.5079811,"windward","North Shore",25.83251057
"site23","Low",404.2760632,979.5381087,"windward","North Shore",26.2347931
"site24","Low",808.5521265,992.5405506,"windward","North Shore",25.54816434
"site25","Medium",1616.723937,1035.055786,"windward","North Shore",25.361499
"site26","High",2074.674393,1097.180082,"sheltered","North Lagoon",24.95305044
"site27","Very High",7276,1111.995276,"sheltered","North Lagoon",NA
"site28","Very Low",0,1091.74432,"sheltered","Korean Wrecks",NA
"site29","Very Low",0,1091.74432,"sheltered","Korean Wrecks",NA
"site3","Low",808.5521265,1035.055786,"windward","North Shore",25.361499
"site30","Very High",5085.684783,1097.180082,"sheltered","North Lagoon",24.95305044
"site31","Very High",5328.680152,1158.555862,"sheltered","Mid Lagoon",NA
"site32","Very High",4860.745702,1158.555862,"sheltered","Mid Lagoon",NA
"site33","Medium",1212.82819,1212.447399,"sheltered","Mid Lagoon",NA
"site34","Medium",1212.82819,1070.261816,"sheltered","South Lagoon",NA
"site35","Medium",1212.82819,1077.882561,"sheltered","South Lagoon",24.82366817
"site36","Very Low",0,1031.55169,"sheltered","Vaskess Bay",24.90151463
"site37","Very Low",0,1028.870517,"sheltered","Vaskess Bay",NA
"site38","Low",808.5521265,992.5405506,"windward","North Shore",25.73490222
"site39","Very Low",0,1003.661438,"windward","Bay of Wrecks",26.40668069
"site4","Low",808.5521265,1043.198364,"sheltered","Vaskess Bay",NA
"site40","High",2425.276063,1158.555862,"sheltered","Mid Lagoon",NA
"site5","Very Low",0,1031.55169,"sheltered","Vaskess Bay",24.90151463
"site6","Medium",1563.82819,984.2650146,"sheltered","South Lagoon",24.79859521
"site7","Medium",1212.82819,1043.198364,"sheltered","Vaskess Bay",NA
"site8","Medium",1212.82819,1077.882561,"sheltered","South Lagoon",24.82366817
"site9","Low",808.5521265,1126.021472,"sheltered","Mid Lagoon",NA
