Field.Season,TimeBlock,Site,Quadrat,HD_Cat,HD_Cont,NPP,WE,Region,WaveEnergy,Taxonomic_Name,functional_group,life_history,prop_cover
KI2013,Before,site1,Q11.6.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q11.6.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q11.6.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q11.6.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q11.6.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q11.6.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q11.6.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q11.6.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q14.5,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q14.5,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q14.5,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q14.5,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q15.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q15.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q15.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q15.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q19.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q19.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q19.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q19.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q2.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q2.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q2.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q2.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q35.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q35.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q35.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q35.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0.02173913
KI2013,Before,site1,Q36.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q36.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q36.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q36.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q38.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q38.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q38.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q38.8,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.3.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.3.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0.071428571
KI2013,Before,site1,Q4.3.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.3.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.3.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.3.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0.072916667
KI2013,Before,site1,Q4.3.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.3.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.8.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.8.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.8.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.8.1,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.8.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.8.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.8.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sarcophyton,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q4.8.2,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Sinularia,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q42.5,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Cladiella,Soft_coral,Soft_Coral,0
KI2013,Before,site1,Q42.5,Medium,1613.276063,979.5381087,windward,North Shore,26.2347931,Lobophytum,Soft_coral,Soft_Coral,0
